Rede,PrecisaoTreino,PrecisaoValidacao,PrecisaoStart,PrecisaoTrain,PrecisaoTest,TempoTreino
rede_test_1,100,22.2222222222222,13.3333333333333,21,75,5.4264911
rede_test_2,100,22.2222222222222,10,16.3333333333333,78.3333333333333,3.7887573
rede_test_3,100,22.2222222222222,20,21.6666666666667,78.3333333333333,3.1927808
